food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber,meal_type
Plain idli (2 pieces),130,28.0,4.5,0.4,0.3,2.3,breakfast
Ragi idli,125,26.0,4.0,1.2,0.8,4.5,breakfast
Oats idli,130,24.0,4.5,2.0,1.0,3.5,breakfast
Rava idli,165,32.0,4.2,2.5,1.5,1.2,breakfast
Brown rice idli,128,27.0,4.3,0.9,0.4,2.8,breakfast
Quinoa idli,135,25.0,5.0,2.2,1.0,3.0,breakfast
Vegetable idli,140,28.0,4.8,1.5,1.2,3.2,breakfast
Spinach idli,132,26.5,5.0,1.3,0.9,3.8,breakfast
Methi idli,135,27.0,4.7,1.6,1.1,4.0,breakfast
Multigrain idli,140,28.5,5.2,1.8,1.0,4.2,breakfast
Moong dal idli,145,26.0,6.5,2.0,0.8,4.5,breakfast
Cabbage idli,128,26.0,4.5,1.2,1.3,3.5,breakfast
Plain dosa (1 medium),150,28.0,3.5,3.0,0.5,2.0,breakfast
Masala dosa (with potato filling),210,35.0,4.0,6.0,1.5,3.0,breakfast
Ragi dosa,140,28.0,4.5,2.0,1.2,5.0,breakfast
Moong dal dosa (pesarattu),160,24.0,8.0,3.5,1.0,4.5,breakfast
Onion dosa,165,29.0,3.8,4.0,2.0,2.5,breakfast
Vegetable dosa,170,30.0,4.2,4.0,1.8,3.0,breakfast
Set dosa,140,26.0,4.0,2.5,0.8,2.0,breakfast
Neer dosa,120,24.0,3.0,1.5,0.5,1.5,breakfast
Wheat dosa,155,28.0,4.5,3.0,1.0,3.5,breakfast
Millet dosa,150,27.0,4.5,3.0,0.8,4.0,breakfast
Egg dosa,180,26.0,7.0,5.0,1.0,2.0,breakfast
Paneer dosa,200,28.0,8.0,6.0,1.5,2.5,breakfast
Spinach dosa,145,26.0,5.0,2.8,1.2,4.2,breakfast
Tomato dosa,155,29.0,3.8,3.2,2.5,2.8,breakfast
Onion uttapam,180,30.0,5.0,4.5,2.0,3.2,breakfast
Tomato uttapam,175,29.0,4.8,4.2,2.5,3.0,breakfast
Vegetable uttapam,175,28.0,5.5,4.0,2.5,4.0,breakfast
Mix vegetable uttapam,185,30.0,5.8,4.5,2.8,4.2,breakfast
Paneer uttapam,200,28.0,8.0,6.0,2.0,3.5,breakfast
Capsicum uttapam,170,28.5,4.5,4.0,2.2,3.5,breakfast
Cabbage uttapam,165,27.0,4.5,3.8,2.0,4.0,breakfast
Sprouts uttapam,190,29.0,7.0,4.5,2.0,5.0,breakfast
Suji upma with vegetables,145,28.0,4.0,3.0,2.0,2.5,breakfast
Vegetable upma,140,26.0,4.2,2.8,2.2,3.0,breakfast
Oats upma,135,23.0,5.0,3.0,1.5,4.5,breakfast
Quinoa upma,140,24.0,5.5,2.5,1.8,4.0,breakfast
Vermicelli upma,155,30.0,3.5,2.5,3.0,1.5,breakfast
Rava upma,145,28.0,4.0,3.0,2.0,2.5,breakfast
Wheat upma,150,29.0,4.5,3.0,2.0,3.5,breakfast
Broken wheat upma,148,28.5,4.5,2.8,1.8,3.8,breakfast
Millet upma,140,26.0,4.2,2.5,1.5,4.0,breakfast
Bread upma,160,30.0,5.0,3.5,3.0,2.0,breakfast
Sprouts upma,150,25.0,6.0,3.0,2.0,4.5,breakfast
Cabbage upma,135,24.0,4.0,2.8,2.5,3.5,breakfast
Tomato upma,140,26.0,3.8,3.0,3.0,2.8,breakfast
Palak upma,138,25.0,4.5,2.8,1.8,4.0,breakfast
Kanda poha (onion poha),170,33.0,3.8,3.2,2.2,2.8,breakfast
Batata poha (potato poha),175,34.0,3.5,3.0,2.0,2.5,breakfast
Vegetable poha,165,32.0,4.0,3.0,2.0,3.2,breakfast
Sprouts poha,160,30.0,5.0,3.0,2.0,4.0,breakfast
Peanut poha,185,32.0,5.5,4.5,2.0,3.5,breakfast
Lemon poha,160,31.0,3.5,2.8,2.0,2.5,breakfast
Green peas poha,170,32.0,4.5,3.0,2.5,3.5,breakfast
Cabbage poha,155,30.0,3.8,2.8,2.2,3.0,breakfast
Palak poha,160,31.0,4.2,3.0,2.0,3.8,breakfast
Masala poha,180,34.0,4.0,3.5,2.5,3.0,breakfast
Plain whole wheat paratha (low oil),210,32.0,6.0,6.5,1.0,4.5,breakfast
Aloo paratha (low oil),220,35.0,6.0,6.0,1.5,4.0,breakfast
Gobi paratha (low oil),200,32.0,6.5,5.0,1.8,4.8,breakfast
"Paneer paratha (low-fat paneer, low oil)",235,30.0,10.0,8.0,1.5,4.2,breakfast
Methi paratha,190,30.0,6.0,5.0,2.0,5.5,breakfast
Mooli paratha,185,28.0,5.5,5.0,2.2,4.8,breakfast
Mixed vegetable paratha,195,31.0,6.0,5.2,2.0,4.5,breakfast
Onion paratha,190,31.0,5.5,5.0,2.0,4.0,breakfast
Sattu paratha,215,33.0,8.0,5.0,1.0,5.0,breakfast
Lachha paratha (low oil),220,34.0,6.0,6.5,1.0,4.0,breakfast
Muli paratha,180,27.0,5.0,5.0,2.0,4.5,breakfast
Palak paratha,190,30.0,6.5,5.0,1.8,5.0,breakfast
Pyaz paratha,195,31.0,5.5,5.5,2.2,4.0,breakfast
Mutter paratha,200,32.0,6.5,5.0,2.0,4.5,breakfast
Soya keema paratha,210,30.0,9.0,6.0,1.5,4.5,breakfast
Sprouts paratha,195,30.0,7.0,5.0,1.5,5.0,breakfast
Cabbage paratha,180,28.0,5.5,4.8,2.0,4.5,breakfast
Carrot paratha,185,29.0,5.5,5.0,2.5,4.0,breakfast
Whole wheat roti,85,16.0,2.8,0.8,0.3,3.0,breakfast
Jowar roti,85,17.0,2.5,0.5,0.2,3.0,breakfast
Bajra roti,90,17.0,2.8,1.0,0.3,3.5,breakfast
Ragi roti,85,17.5,2.5,0.6,0.2,4.0,breakfast
Multigrain roti,85,16.0,3.0,0.8,0.3,3.5,breakfast
Missi roti,95,16.0,4.0,1.5,0.5,3.0,breakfast
Makki ki roti,100,19.0,2.5,1.5,0.5,3.0,breakfast
Nachni roti,85,17.5,2.5,0.6,0.2,4.0,breakfast
Rice roti,90,18.0,2.0,0.5,0.2,1.5,breakfast
Quinoa roti,95,17.0,3.5,1.2,0.3,3.0,breakfast
Besan chilla (gram flour pancake),160,20.0,8.0,5.5,1.5,4.0,breakfast
Moong dal chilla,150,20.0,9.0,4.0,1.0,4.5,breakfast
Mixed dal chilla,155,21.0,8.5,4.5,1.2,4.2,breakfast
Spinach chilla,150,19.0,8.0,4.5,1.5,4.5,breakfast
Onion chilla,155,21.0,7.5,5.0,2.0,3.5,breakfast
Paneer stuffed chilla,190,22.0,11.0,7.0,1.5,4.0,breakfast
Methi chilla,155,20.0,8.0,4.8,1.5,4.5,breakfast
Vegetable chilla,160,21.0,7.5,5.0,1.8,4.0,breakfast
Cabbage chilla,145,19.0,7.0,4.5,2.0,4.0,breakfast
Sprouts chilla,165,22.0,8.5,5.0,1.5,4.5,breakfast
Khaman dhokla,160,28.0,6.0,3.0,2.5,2.5,breakfast
Rava dhokla,170,30.0,5.0,3.5,2.0,1.5,breakfast
Mixed lentil dhokla,165,27.0,6.5,3.2,2.2,2.8,breakfast
Vegetable dhokla,155,26.0,5.5,3.0,2.5,3.0,breakfast
Palak dhokla,150,25.0,6.0,2.8,2.0,3.5,breakfast
Handvo,190,30.0,7.0,4.5,2.0,4.0,breakfast
Methi muthia,180,28.0,6.0,4.0,2.0,4.5,breakfast
Cabbage muthia,170,27.0,5.5,3.8,2.2,4.0,breakfast
Boiled eggs (2 eggs),140,1.0,12.0,10.0,0.5,0.0,breakfast
Scrambled eggs (2 eggs),180,1.0,13.0,14.0,0.5,0.0,breakfast
Vegetable omelette (2 eggs),180,3.0,13.0,12.0,1.5,1.0,breakfast
Egg bhurji,170,2.0,12.0,12.0,1.0,0.5,breakfast
Egg white omelette (3 whites),70,1.0,15.0,0.5,0.5,0.0,breakfast
Poached eggs (2 eggs),140,1.0,12.0,10.0,0.5,0.0,breakfast
"Fried eggs (minimal oil, 2 eggs)",160,1.0,12.0,12.0,0.5,0.0,breakfast
Masala omelette (2 eggs),190,3.5,13.0,13.0,1.5,1.0,breakfast
Egg and spinach scramble,160,2.5,12.0,11.0,1.0,0.5,breakfast
Egg and mushroom omelette,175,3.0,13.0,12.0,1.2,1.0,breakfast
Grilled paneer sandwich (whole wheat),220,28.0,12.0,7.0,3.0,4.0,breakfast
Paneer bhurji (low-fat),180,5.0,15.0,11.0,2.0,1.0,breakfast
"Paneer paratha (low-fat paneer, low oil)",235,30.0,10.0,8.0,1.5,4.2,breakfast
Paneer chilla,190,22.0,11.0,7.0,1.5,4.0,breakfast
Paneer stuffed uttapam,200,28.0,8.0,6.0,2.0,3.5,breakfast
Scrambled paneer,170,4.0,14.0,11.0,1.5,1.0,breakfast
Greek yogurt with berries,120,8.0,10.0,5.0,5.0,1.5,breakfast
Fresh fruit bowl,90,22.0,1.5,0.5,18.0,4.0,breakfast
Banana smoothie (with yogurt),140,25.0,5.0,2.5,12.0,4.0,breakfast
Apple with peanut butter,180,22.0,5.0,9.0,16.0,4.0,breakfast
